ID,Answer → ID,Answer → Answer,Answer → QuestionId,Answer → IsCorrect
d316192a-8e2b-480c-9a17-261a849691e6,e154f05d-226b-4f04-a944-3bd1a82a4059,"- **Neuron doctrine**: Both synapses are sites of neuron-to-neuron communication, aligning with the idea that neurons are discrete units.
- **Dynamic polarization**: Terminal synapses typically convey signals in one direction, supporting this principle.
- **Connectional specificity**: Both synapse types form selective connections, reflecting non-random network organization.",d316192a-8e2b-480c-9a17-261a849691e6,true
c1f894bb-a2bb-423d-8978-f72619bd17b3,c7a6e2fe-8ac4-405e-bee0-d83bb53a6639,"- Neurons are individual units (neuron doctrine), highlighting their role in signal processing and cellular interactions.
- Dynamic polarization (signal directionality) emphasizes the importance of neuron structure in signal transmission.
- Connectional specificity (specific connections) influences understanding of neural pathways and network formation.
- Cellular compartments and synapses (terminal, en passant) enable complex signal integration and processing.",c1f894bb-a2bb-423d-8978-f72619bd17b3,true
0dc6e82e-3308-42e0-b50d-3aa6d0d528e3,866420ca-4744-428a-bf23-f33b00bf6dee,"- Neurons transmit signals in a specific direction, from dendrites to axons.
- Functional asymmetry: dendrites receive inputs, axons send outputs.
- Axon initial segment (AIS) is crucial for action potential initiation.
- Polarization ensures efficient communication in the neural network.",0dc6e82e-3308-42e0-b50d-3aa6d0d528e3,true
6b904939-f1e6-4223-9fc1-77d2451d3f89,b30524c4-235b-40d7-a0f8-75c919c81a5f,"- Neuron doctrine: Neurons are individual cells and essential units of signal processing.
- Principle of dynamic polarization: Neurons convey signals in a defined direction.
- Connectional specificity: Neurons connect non-randomly to form networks.",6b904939-f1e6-4223-9fc1-77d2451d3f89,true
37763f43-5e5a-45de-9827-ddf12f8c8c28,17b64102-f659-41cb-b159-a4fa25fc398c,- Santiago Ramón y Cajal,37763f43-5e5a-45de-9827-ddf12f8c8c28,true
b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,71ccd39c-7023-42d9-9569-4fc9fce7b366,Neurons ensure the directional propagation of signals through compartmentalization.,b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,false
b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,479a4874-07f5-49ed-99f2-1e2d70a814a1,Neurons are individual cells that serve as the essential units of signal processing.,b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,true
b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,bdb6cee4-6de7-47e6-af5c-f957fd9ac929,Neurons are non-randomly connected into networks for signal processing.,b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,false
b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,25695433-4beb-41a5-be5b-583e32d47a7e,Neurons convey signals in a defined direction.,b8b9214c-8a63-4f5e-aa3b-c710a1a797f5,false
93235e1a-a0a9-4f81-80ce-9fa8b864e32f,f4dc738c-8564-47ef-8626-d1fb14527335,The principle of dynamic polarization states that neuronal signals propagate from the dendrites and cell body to the axon terminal.,93235e1a-a0a9-4f81-80ce-9fa8b864e32f,true
93235e1a-a0a9-4f81-80ce-9fa8b864e32f,cad58b88-fc2d-48de-a65c-7d57c5a17511,Dynamic polarization defines that signals travel unidirectionally from the soma and dendrites towards the axon terminal.,93235e1a-a0a9-4f81-80ce-9fa8b864e32f,true
93235e1a-a0a9-4f81-80ce-9fa8b864e32f,ef82a4f6-b757-4b08-84d4-0e25c95ea3ce,The principle of dynamic polarization allows for bidirectional signal propagation within the neuron.,93235e1a-a0a9-4f81-80ce-9fa8b864e32f,false
93235e1a-a0a9-4f81-80ce-9fa8b864e32f,45f6a55e-ffb4-4dbf-85ef-0f510d11d101,Dynamic polarization suggests that signals can start at any point in the neuron and travel in any direction.,93235e1a-a0a9-4f81-80ce-9fa8b864e32f,false
93235e1a-a0a9-4f81-80ce-9fa8b864e32f,83f468e2-fd13-4add-910c-20027ebaf7ca,The principle of dynamic polarization indicates that signal strength is equal at all points within the neuron.,93235e1a-a0a9-4f81-80ce-9fa8b864e32f,false
4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,14ebb639-f1fe-4955-8915-0f4ecdba1b00,"Connectional specificity ensures that neurons form precise networks, enabling specific signal pathways crucial for proper neural function.",4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,true
4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,d336b57b-8f83-41c0-8ed5-d9abfdae05eb,"It allows for the formation of specialized neural circuits, which are essential for specific brain functions.",4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,true
4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,8eca6413-fb2b-4682-bde6-bf14e1f04235,"Connectional specificity ensures neurons are randomly connected, enhancing adaptability in neural networks.",4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,false
4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,f82ed196-9c7e-4c94-ad81-f93a73812372,"It limits the diversity of connections, reducing the complexity of neural circuits.",4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,false
4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,bb032703-b832-451d-a662-e2b26cebd4c9,"Connectional specificity primarily aids in neuron survival, but not in functional specialization.",4cd2455e-ab48-4d12-9b1b-7bbecc301f9f,false
660ef6bd-1506-4747-9ca2-190642617282,698b3352-5c3b-43f4-a998-78922b967de8,"Terminal synapses are located at the end of an axon and release neurotransmitters to a specific target cell, whereas en passant synapses occur along the axon and can influence multiple cells.",660ef6bd-1506-4747-9ca2-190642617282,true
660ef6bd-1506-4747-9ca2-190642617282,01e2726f-5768-4d2e-915f-5d786badf395,"Terminal synapses primarily facilitate one-to-one communication between neurons, while en passant synapses can create multiple contact points along the axon.",660ef6bd-1506-4747-9ca2-190642617282,true
660ef6bd-1506-4747-9ca2-190642617282,264ea367-4c22-427f-a9a2-d92a2896f1fa,"Terminal synapses are not involved in neurotransmitter release, unlike en passant synapses which are.",660ef6bd-1506-4747-9ca2-190642617282,false
